"Date","Year","X_coord","Y_coord","Year_f","week","month"
1990-01-08,1990,309381.371,4837961.151,"1990",1990-01-07,1990-01-01
1990-01-08,1990,301083.075,4833777.675,"1990",1990-01-07,1990-01-01
1990-01-09,1990,305443.919,4847072.32,"1990",1990-01-07,1990-01-01
1990-01-09,1990,327512.413,4847016.151,"1990",1990-01-07,1990-01-01
1990-01-09,1990,301934.186,4842263.284,"1990",1990-01-07,1990-01-01
1990-01-09,1990,301411.835,4837795.046,"1990",1990-01-07,1990-01-01
1990-01-09,1990,303529.755,4844934.338,"1990",1990-01-07,1990-01-01
1990-01-09,1990,317004.574,4843709.065,"1990",1990-01-07,1990-01-01
1990-01-09,1990,301531.485,4827502.674,"1990",1990-01-07,1990-01-01
1990-01-09,1990,305174.228,4835240.188,"1990",1990-01-07,1990-01-01
1990-01-09,1990,299556.381,4843051.978,"1990",1990-01-07,1990-01-01
1990-01-10,1990,313377.541,4849076.759,"1990",1990-01-07,1990-01-01
1990-01-10,1990,324067.303,4843098.463,"1990",1990-01-07,1990-01-01
1990-01-10,1990,321487.747,4850884.53,"1990",1990-01-07,1990-01-01
1990-01-10,1990,323449.521,4849120.251,"1990",1990-01-07,1990-01-01
1990-01-10,1990,322120.509,4851303.019,"1990",1990-01-07,1990-01-01
1990-01-10,1990,301333.43,4828206.017,"1990",1990-01-07,1990-01-01
1990-01-11,1990,314636.441,4846861.37,"1990",1990-01-07,1990-01-01
1990-01-11,1990,299839.402,4839594.441,"1990",1990-01-07,1990-01-01
1990-01-11,1990,330744.993,4846208.758,"1990",1990-01-07,1990-01-01
1990-01-11,1990,299979.71,4843638.908,"1990",1990-01-07,1990-01-01
1990-01-11,1990,299580.031,4834852.048,"1990",1990-01-07,1990-01-01
1990-01-11,1990,304223.31,4845822.839,"1990",1990-01-07,1990-01-01
1990-01-11,1990,302786.39,4832827.482,"1990",1990-01-07,1990-01-01
1990-01-11,1990,303701.04,4832398.929,"1990",1990-01-07,1990-01-01
1990-01-11,1990,304144.494,4832647.797,"1990",1990-01-07,1990-01-01
1990-01-12,1990,328803.755,4847828.956,"1990",1990-01-07,1990-01-01
