STA,lon,lat
155,-79.37666459,43.76410773
156,-79.40860362,43.77181552
157,-79.55442794,43.63499858
158,-79.38925326,43.65488591
159,-79.48232071,43.70242952
160,-79.52935078,43.63634668
161,-79.60346127,43.74809771
162,-79.29277407,43.71767934
163,-79.31030925,43.79290924
164,-79.39954269,43.77739268
165,-79.25876442,43.74905646
166,-79.35883726,43.70932642
167,-79.43180339,43.65276945
168,-79.40879732,43.79517769
169,-79.50386362,43.65835653
170,-79.2319558,43.73473147
171,-79.3735557,43.76486858
172,-79.48642912,43.73010358
173,-79.56504476,43.67758532
174,-79.41082892,43.75549179
175,-79.25569221,43.742251
176,-79.56090744,43.6508417
177,-79.47737764,43.71803331
178,-79.41880449,43.72162032
179,-79.51151806,43.69548716
180,-79.54462149,43.73950965
181,-79.23527922,43.73191042
182,-79.39613002,43.77300003
183,-79.53666932,43.64511967
184,-79.36147886,43.74311766
185,-79.55374956,43.643167
186,-79.35850874,43.73814976
187,-79.52178166,43.59089288
188,-79.37206625,43.79235327
189,-79.38914065,43.77865136
190,-79.35839819,43.80110539
191,-79.40199388,43.75619399
192,-79.49944503,43.72809777
193,-79.50812833,43.64818314
194,-79.41981401,43.74254652
195,-79.46129422,43.73036633
196,-79.20030256,43.75340865
197,-79.40119481,43.75396428
198,-79.38481204,43.74129375
199,-79.48268127,43.70208921
200,-79.30324049,43.76505141
201,-79.4404778,43.72769122
202,-79.48125331,43.70198304
203,-79.17391878,43.76130529
204,-79.43197137,43.71535969
205,-79.53274876,43.720477
206,-79.52310828,43.69924459
207,-79.42578394,43.7158154
208,-79.41850673,43.79163538
209,-79.43677587,43.78412081
210,-79.25916972,43.7228084
211,-79.31656132,43.7260455
212,-79.54668441,43.74382011
213,-79.52431901,43.69672034
214,-79.49049296,43.62924963
215,-79.38265554,43.77606112
216,-79.5667935,43.66166899
217,-79.27119023,43.73164906
218,-79.57046446,43.64633395
219,-79.45518128,43.66140068
220,-79.30237823,43.74699732
221,-79.54521664,43.67444561
222,-79.35620521,43.78080683
223,-79.54828044,43.69141768
224,-79.52504788,43.69407354
225,-79.45096409,43.78940657
226,-79.54770016,43.65672131
227,-79.26301475,43.73072757
228,-79.36796717,43.7536114
229,-79.43589901,43.7647611
230,-79.51714408,43.7084509
231,-79.2423257,43.72460644
232,-79.25395796,43.7369615
233,-79.30030737,43.75013288
234,-79.20633824,43.74136503
235,-79.56818706,43.67309832
236,-79.37602193,43.64958974
237,-79.53781066,43.68901709
238,-79.26291559,43.72422656
239,-79.41903734,43.78551163
240,-79.24425229,43.75278254
241,-79.56562038,43.75424985
242,-79.39700102,43.73919679
243,-79.38141206,43.79081375
244,-79.53092532,43.65891669
245,-79.54519689,43.65922463
246,-79.5497756,43.65306255
247,-79.3013678,43.70485922
248,-79.56729676,43.75700127
249,-79.5603338,43.65534421
250,-79.36138689,43.79759436
251,-79.48969731,43.68691854
252,-79.44960671,43.70496264
253,-79.57836043,43.65421468
254,-79.45814988,43.76646992
255,-79.42976154,43.671618
256,-79.27694067,43.75509704
257,-79.43004672,43.78956199
258,-79.47947601,43.69299895
259,-79.31337498,43.80370177
260,-79.31910316,43.77075163
261,-79.53919299,43.7445745
262,-79.54660648,43.63573409
263,-79.51063751,43.68043673
264,-79.4328363,43.79083533
265,-79.31924562,43.79602009
266,-79.43220208,43.6329486
267,-79.29776467,43.70776798
268,-79.32101884,43.7711934
269,-79.54061956,43.6832447
270,-79.57023245,43.70852686
271,-79.56029176,43.74757595
272,-79.25774011,43.75785438
273,-79.5500855,43.64095215
274,-79.55209853,43.64541329
275,-79.34603109,43.73063829
276,-79.28310397,43.80509317
277,-79.57998782,43.64148605
278,-79.49354003,43.73400738
279,-79.44302711,43.75568002
280,-79.48076241,43.69262531
281,-79.36658899,43.74055722
282,-79.18483537,43.754839
283,-79.37535627,43.77753231
284,-79.45478224,43.78765914
285,-79.58962528,43.71580181
286,-79.3937893,43.78252971
287,-79.28597911,43.75654971
288,-79.31883915,43.77081257
289,-79.4795641,43.69367123
290,-79.29864736,43.80506878
291,-79.40595782,43.77103055
292,-79.27465271,43.73647783
293,-79.47889779,43.7150496
294,-79.22499186,43.76924529
295,-79.31700411,43.68922831
296,-79.55450009,43.63516739
297,-79.29649788,43.79392374
298,-79.56148066,43.72520671
299,-79.269318,43.73207737
300,-79.46642572,43.68064826
301,-79.24512417,43.70603274
302,-79.29946824,43.77866572
303,-79.36579598,43.71594046
304,-79.2070834,43.77253803
305,-79.26460323,43.79528097
306,-79.26943069,43.71304411
307,-79.55773349,43.65084747
308,-79.24962706,43.74671585
309,-79.48255692,43.73353867
310,-79.45655383,43.74838705
311,-79.39339529,43.74944118
312,-79.24830944,43.74603248
313,-79.52646026,43.76575385
314,-79.2740916,43.72643697
315,-79.54179973,43.6494475
316,-79.55718021,43.64516377
317,-79.25391944,43.72801871
318,-79.5572187,43.69937424
319,-79.24686573,43.72250833
320,-79.50715026,43.74151425
321,-79.33128656,43.7924942
322,-79.5560144,43.69787741
323,-79.38770295,43.72168011
324,-79.51866871,43.59921328
325,-79.57114206,43.67724781
326,-79.2035675,43.73779698
327,-79.22377956,43.75511737
328,-79.51543294,43.66087448
329,-79.45378003,43.76662869
330,-79.55392114,43.60072308
331,-79.56033075,43.65097473
332,-79.46822188,43.70902493
333,-79.53889891,43.64686585
334,-79.51373315,43.64340546
335,-79.55816992,43.72529214
336,-79.45490052,43.75973354
337,-79.55220172,43.72440426
338,-79.52549852,43.66697871
339,-79.50216244,43.62539873
340,-79.3841592,43.67586463
341,-79.51899498,43.59998631
342,-79.44231432,43.74000508
343,-79.3114817,43.73667234
344,-79.48935796,43.63885771
345,-79.3123961,43.7531814
346,-79.51011641,43.72664738
347,-79.52106114,43.70876514
348,-79.2493393,43.74137891
349,-79.38190195,43.77727585
350,-79.44598807,43.74884666
351,-79.54502448,43.67613442
352,-79.51301146,43.63644915
353,-79.49278911,43.68307153
354,-79.39269337,43.78735238
355,-79.5260145,43.71327947
356,-79.55775006,43.74608976
357,-79.2337984,43.78186947
358,-79.46158051,43.71068221
359,-79.28654491,43.75491499
360,-79.37110162,43.76502105
361,-79.528817,43.66456562
362,-79.52636437,43.74681321
363,-79.4359083,43.72515844
364,-79.42474586,43.71046692
365,-79.31492563,43.77835459
366,-79.54889024,43.67966113
367,-79.40582467,43.77472972
368,-79.55148302,43.67231166
369,-79.27659196,43.68726699
370,-79.49209702,43.70049838
371,-79.22856812,43.74398286
372,-79.55138117,43.67207103
373,-79.56663599,43.72330166
374,-79.25272753,43.78843661
375,-79.37568969,43.76425903
376,-79.53429051,43.66393012
377,-79.33806939,43.65212423
378,-79.2315472,43.75255745
379,-79.19325821,43.78542398
380,-79.18316835,43.75618598
381,-79.20229095,43.74247345
382,-79.37941171,43.79852595
383,-79.3761868,43.65031591
384,-79.53925924,43.69080222
385,-79.46645063,43.69458349
386,-79.46693487,43.69472208
387,-79.44031436,43.7712302
388,-79.43924702,43.74780351
389,-79.53955518,43.66162728
390,-79.50619884,43.65015747
391,-79.57003143,43.65193198
392,-79.42781609,43.70326284
393,-79.56851742,43.71582039
394,-79.23930495,43.74070922
395,-79.34175412,43.65311896
396,-79.58630779,43.74643073
397,-79.26401796,43.74269349
